Author,Name,URL,LastUpdated
msdx321,SoundSetter (fork),https://github.com/msdx321/SoundSetter,2021-08-11
PrincessRTFM,XIVComboPlugin (fork),https://github.com/PrincessRTFM/XIVComboPlugin,2021-08-10
wozaiha,StarLightBreaker,https://github.com/wozaiha/StarLightBreaker,2021-08-09
wozaiha,VisibilityPlugin (fork),https://github.com/wozaiha/VisibilityPlugin,2021-08-09
Eternita-S,GPNotify,https://github.com/Eternita-S/GPNotify,2021-08-07
karashiiro,PriceCheck (fork),https://github.com/karashiiro/PriceCheck,2021-08-06
Eternita-S,AntiAfkKick,https://github.com/Eternita-S/AntiAfkKick,2021-08-05
ohhopi,OopsNoLalafells (fork),https://github.com/ohhopi/OopsNoLalafells,2021-08-05
msdx321,QoLBar (fork),https://github.com/msdx321/QoLBar,2021-08-05
ungeho,PixelPerfectPlus (fork),https://github.com/ungeho/PixelPerfectPlus,2021-08-03
Ms-Tress,AetherSense,https://github.com/Ms-Tress/AetherSense,2021-08-02
GioPanaro,Baldesion,https://github.com/GioPanaro/Baldesion,2021-08-01
Purarity,JobBars (fork),https://github.com/Purarity/JobBars,2021-07-31
PrincessRTFM,TinyCommands,https://github.com/PrincessRTFM/TinyCommands,2021-07-31
akira0245,Reset-dummy-enmity-command,https://github.com/akira0245/Reset-dummy-enmity-command,2021-07-30
SheepGoMeh,VisibilityPlugin,https://github.com/SheepGoMeh/VisibilityPlugin,2021-07-30
Lanselotto,BDTHPlugin (fork),https://github.com/Lanselotto/BDTHPlugin,2021-07-26
Caraxi,LivePluginLoad,https://github.com/Caraxi/LivePluginLoad,2021-07-24
LittleNightmare,SimpleTweaksPlugin (fork),https://github.com/LittleNightmare/SimpleTweaksPlugin,2021-07-23
MiKE41,CameraPlugin (fork),https://github.com/MiKE41/CameraPlugin,2021-07-23
nyaoouo,SimpleTweaksPlugin (fork),https://github.com/nyaoouo/SimpleTweaksPlugin,2021-07-22
marimelon,LeaveDutyCmdPlugin,https://github.com/marimelon/LeaveDutyCmdPlugin,2021-07-21
karashiiro,DutyDialer,https://github.com/karashiiro/DutyDialer,2021-07-20
c0nnex,TextToTalk (fork),https://github.com/c0nnex/TextToTalk,2021-07-18
Eternita-S,XLKill,https://github.com/Eternita-S/XLKill,2021-07-17
Eternita-S,CutsceneEnded,https://github.com/Eternita-S/CutsceneEnded,2021-07-17
Eternita-S,EnmityHp,https://github.com/Eternita-S/EnmityHp,2021-07-17
Eternita-S,Prioritizer,https://github.com/Eternita-S/Prioritizer,2021-07-17
Eternita-S,DynamicVisibility,https://github.com/Eternita-S/DynamicVisibility,2021-07-17
Vayhyr,XIVComboPlugin (fork),https://github.com/Vayhyr/XIVComboPlugin,2021-07-17
elongpre,xlrandomizer,https://github.com/elongpre/xlrandomizer,2021-07-16
Pahiro,TextToTalk (fork),https://github.com/Pahiro/TextToTalk,2021-07-16
DiggityMan420,YesAlready (fork),https://github.com/DiggityMan420/YesAlready,2021-07-14
epicfarmer,DeepDungeonDex (fork),https://github.com/epicfarmer/DeepDungeonDex,2021-07-10
lclichen,HousingPos (fork),https://github.com/lclichen/HousingPos,2021-07-09
CynicalNicole,XIVPeeChat,https://github.com/CynicalNicole/XIVPeeChat,2021-07-08
UnknownX7,SimpleTweaksPlugin (fork),https://github.com/UnknownX7/SimpleTweaksPlugin,2021-07-06
fitzchivalrik,HUDVignette,https://github.com/fitzchivalrik/HUDVignette,2021-06-30
Bluefissure,Inviter,https://github.com/Bluefissure/Inviter,2021-06-29
lgardner462,PT,https://github.com/lgardner462/PT,2021-06-27
cadaeix,XIVLogger,https://github.com/cadaeix/XIVLogger,2021-06-27
fitzchivalrik,compass,https://github.com/fitzchivalrik/compass,2021-06-26
lushc,XIVComboPluginProEsportsGamerChairEdition (fork),https://github.com/lushc/XIVComboPluginProEsportsGamerChairEdition,2021-06-26
ModdingFox,FFXIVDiscordBot,https://github.com/ModdingFox/FFXIVDiscordBot,2021-06-25
kai-dg,BetterPixelPerfect (fork),https://github.com/kai-dg/BetterPixelPerfect,2021-06-24
DaulB,ArenaPlus,https://github.com/DaulB/ArenaPlus,2021-06-23
maributt,ChatTranslator (fork),https://github.com/maributt/ChatTranslator,2021-06-23
DevJinnial,OrchestrionPlugin (fork),https://github.com/DevJinnial/OrchestrionPlugin,2021-06-23
DaulB,PixelPerfect (fork),https://github.com/DaulB/PixelPerfect,2021-06-20
Bluefissure,WindowLocker,https://github.com/Bluefissure/WindowLocker,2021-06-11
rushtothesun,XIVComboPluginExpandedest,https://github.com/rushtothesun/XIVComboPluginExpandedest,2021-06-11
Eternita-S,PriceOverlay,https://github.com/Eternita-S/PriceOverlay,2021-06-06
serifine,XIV-Chat-Scanner,https://github.com/serifine/XIV-Chat-Scanner,2021-06-06
Kuenaimaku,InventoryCleanupPlugin,https://github.com/Kuenaimaku/InventoryCleanupPlugin,2021-06-05
Looty,PennyPincher (fork),https://github.com/Looty/PennyPincher,2021-06-05
MogsFriend,BrowserHost (fork),https://github.com/MogsFriend/BrowserHost,2021-06-04
tssailzz8,XIVComboPluginExpandedest (fork),https://github.com/tssailzz8/XIVComboPluginExpandedest,2021-06-03
rushtothesun,XIVComboPlugin (fork),https://github.com/rushtothesun/XIVComboPlugin,2021-06-02
aers,MaterialTools,https://github.com/aers/MaterialTools,2021-06-01
maributt,FFLogsLookupPlugin,https://github.com/maributt/FFLogsLookupPlugin,2021-05-30
Caraxi,ChatAlerts,https://github.com/Caraxi/ChatAlerts,2021-05-30
suzutan,InstanceIDViewer,https://github.com/suzutan/InstanceIDViewer,2021-05-29
daemitus,XivCounter,https://github.com/daemitus/XivCounter,2021-05-28
SheepGoMeh,SideHUD,https://github.com/SheepGoMeh/SideHUD,2021-05-28
sebastianpaiva,MOActionPlugin (fork),https://github.com/sebastianpaiva/MOActionPlugin,2021-05-26
Grammernatzi,XIVComboPluginExpandedest (fork),https://github.com/Grammernatzi/XIVComboPluginExpandedest,2021-05-26
saltycog,ffxiv-startup-commands,https://github.com/saltycog/ffxiv-startup-commands,2021-05-25
marimelon,ZoomHackPlugin,https://github.com/marimelon/ZoomHackPlugin,2021-05-24
Eternita-S,MineClick,https://github.com/Eternita-S/MineClick,2021-05-19
Bluefissure,MPTimer (fork),https://github.com/Bluefissure/MPTimer,2021-05-18
DreanorFFXIV,dalamud-SokenLahee,https://github.com/DreanorFFXIV/dalamud-SokenLahee,2021-05-17
theEricPeters,CameraPlugin (fork),https://github.com/theEricPeters/CameraPlugin,2021-05-17
Caraxi,RemindMe,https://github.com/Caraxi/RemindMe,2021-05-14
BardMusicPlayer,BardMusicPlayer.Helper,https://github.com/BardMusicPlayer/BardMusicPlayer.Helper,2021-05-13
aers,AtkEventPlugin,https://github.com/aers/AtkEventPlugin,2021-05-12
DarkDestry,dalamud-simpleCompass,https://github.com/DarkDestry/dalamud-simpleCompass,2021-05-12
Bluefissure,NoKillPlugin,https://github.com/Bluefissure/NoKillPlugin,2021-05-12
suzutan,Dalamud.EbisuBeer,https://github.com/suzutan/Dalamud.EbisuBeer,2021-05-11
DreanorFFXIV,dalamud-questTTS,https://github.com/DreanorFFXIV/dalamud-questTTS,2021-05-09
msdx321,MOActionPlugin (fork),https://github.com/msdx321/MOActionPlugin,2021-05-08
fishythefish,OopsAllLalafells (fork),https://github.com/fishythefish/OopsAllLalafells,2021-05-06
Bluefissure,HousingPos,https://github.com/Bluefissure/HousingPos,2021-05-05
goaaats,Dalamud.LoadingImage,https://github.com/goaaats/Dalamud.LoadingImage,2021-05-05
suzutan,MacroRecursionReborn (fork),https://github.com/suzutan/MacroRecursionReborn,2021-05-05
HatTheTurtle,QuietGlamours,https://github.com/HatTheTurtle/QuietGlamours,2021-05-04
aers,NamePlates,https://github.com/aers/NamePlates,2021-05-02
Eternita-S,Inviter (fork),https://github.com/Eternita-S/Inviter,2021-05-01
aers,FFXIVAtkArrayDataBrowserPlugin,https://github.com/aers/FFXIVAtkArrayDataBrowserPlugin,2021-04-29
unseenline,HousingPos (fork),https://github.com/unseenline/HousingPos,2021-04-27
aers,DalamudMenu,https://github.com/aers/DalamudMenu,2021-04-26
Bluefissure,DoubleWeaver,https://github.com/Bluefissure/DoubleWeaver,2021-04-25
reiichi001,dalamud-chattyper,https://github.com/reiichi001/dalamud-chattyper,2021-04-24
Haplo064,ChatTranslator,https://github.com/Haplo064/ChatTranslator,2021-04-23
Caraxi,AdventurerInNeed,https://github.com/Caraxi/AdventurerInNeed,2021-04-22
a08381,Dalamud.SkipCutscene,https://github.com/a08381/Dalamud.SkipCutscene,2021-04-20
ackwell,BrowserHost,https://github.com/ackwell/BrowserHost,2021-04-20
BAKAOLC,MPTimer (fork),https://github.com/BAKAOLC/MPTimer,2021-04-20
msdx321,SimpleTweaksPlugin (fork),https://github.com/msdx321/SimpleTweaksPlugin,2021-04-20
msdx321,FPSLimiter (fork),https://github.com/msdx321/FPSLimiter,2021-04-19
msdx321,XIVComboPlugin (fork),https://github.com/msdx321/XIVComboPlugin,2021-04-19
msdx321,LivePluginLoad (fork),https://github.com/msdx321/LivePluginLoad,2021-04-19
msdx321,MarketBoardPlugin (fork),https://github.com/msdx321/MarketBoardPlugin,2021-04-19
Bluefissure,IMEPlugin,https://github.com/Bluefissure/IMEPlugin,2021-04-19
Eternita-S,OrchestrionPlugin (fork),https://github.com/Eternita-S/OrchestrionPlugin,2021-04-19
LeonBlade,CameraPlugin,https://github.com/LeonBlade/CameraPlugin,2021-04-18
Haplo064,JobIcons,https://github.com/Haplo064/JobIcons,2021-04-18
Asvel,ffxiv-literal-map-link,https://github.com/Asvel/ffxiv-literal-map-link,2021-04-18
ChristopherJTrent,MacroRecursion (fork),https://github.com/ChristopherJTrent/MacroRecursion,2021-04-18
0ceal0t,PartyPlus,https://github.com/0ceal0t/PartyPlus,2021-04-17
Tenrys,FATEAutoSync,https://github.com/Tenrys/FATEAutoSync,2021-04-17
msdx321,MPTimer (fork),https://github.com/msdx321/MPTimer,2021-04-17
lmcintyre,XIVComboPlugin (fork),https://github.com/lmcintyre/XIVComboPlugin,2021-04-17
Mireiawen,VisibilityPlugin (fork),https://github.com/Mireiawen/VisibilityPlugin,2021-04-16
attickdoor,XIVComboPlugin,https://github.com/attickdoor/XIVComboPlugin,2021-04-16
maributt,OldMacroRecursion,https://github.com/maributt/OldMacroRecursion,2021-04-15
reiichi001,FFXIV_PaissaHouse (fork),https://github.com/reiichi001/FFXIV_PaissaHouse,2021-04-15
ff-meli,OrchestrionPlugin,https://github.com/ff-meli/OrchestrionPlugin,2021-04-15
rreminy,FFXIV.WinTitle,https://github.com/rreminy/FFXIV.WinTitle,2021-04-15
maributt,FPSLimiter,https://github.com/maributt/FPSLimiter,2021-04-14
LeonBlade,HeelsPlugin,https://github.com/LeonBlade/HeelsPlugin,2021-04-14
avafloww,TabTab,https://github.com/avafloww/TabTab,2021-04-14
avafloww,OopsAllLalafells,https://github.com/avafloww/OopsAllLalafells,2021-04-14
Haplo064,WheresWOLdo,https://github.com/Haplo064/WheresWOLdo,2021-04-14
Haplo064,SlideCast,https://github.com/Haplo064/SlideCast,2021-04-14
Haplo064,Europe,https://github.com/Haplo064/Europe,2021-04-14
Haplo064,ChatBubbles,https://github.com/Haplo064/ChatBubbles,2021-04-14
